,states,x,y
0,São Paulo,39.0,-142.0
1,Rio de Janeiro,153.0,-146.0
2,Minas Gerais,117.0,-76.0
3,Distrito Federal,60.0,-35.0
4,Bahia,160.0,30.0
5,Ceará,199.0,145.0
6,Amazonas,-211.0,165.0
7,Paraná,-10.0,-186.0
8,Pernambuco,229.0,89.0
9,Pará,-26.0,161.0
10,Rio Grande do Sul,-31.0,-267.0
11,Goiás,20.0,-44.0
12,Amapá,-6.0,253.0
13,Maranhão,101.0,146.0
14,Alagoas,250.0,68.0
15,Piauí,141.0,99.0
16,Rio Grande do Norte,249.0,135.0
17,Paraíba,250.0,108.0
18,Sergipe,234.0,51.0
19,Espírito Santo,181.0,-102.0
20,Santa Catarina,11.0,-225.0
21,Acre,-336.0,83.0
22,Rondônia,-196.0,50.0
23,Mato Grosso,-74.0,13.0
24,Mato Grosso do Sul,-64.0,-109.0
25,Roraima,-169.0,272.0
26,Tocantins,52.0,55.0
